experiment,model,n_features,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_balanced_accuracy,cv_mcc,cv_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_balanced_accuracy,test_mcc,test_brier
full,random_forest,38,0.9685197025170325,0.9604172550921326,0.9815667767815007,0.9708425217195655,0.9921628029805053,0.9916674299277964,0.9675797807801747,0.93698988827369,0.024111449630731537,0.9711286089238845,0.963855421686747,0.9828009828009828,0.9732360097323601,0.9952174966259474,0.9954116113701945,0.9702737308371111,0.942113682296307,0.023385700787401577
full,gradient_boosting,38,0.9675307157591895,0.961513377457561,0.9784879660217085,0.9698616712551651,0.9921225265238217,0.9917753381051974,0.9667433652693174,0.9349961227517752,0.025495761505545427,0.9671916010498688,0.961352657004831,0.9778869778869779,0.9695493300852619,0.9952590234280375,0.9957728404879502,0.9664082776758833,0.9341526148862567,0.02633214973876535
no_density,random_forest,33,0.9547416594006204,0.9357365219788898,0.9827881075979237,0.958658778782709,0.9892304620916594,0.9895616915779527,0.9527234335864587,0.9101307802584625,0.03845891376138001,0.963254593175853,0.9522673031026253,0.9803439803439803,0.9661016949152542,0.9906460878291864,0.991180991369539,0.9620029760874831,0.9264715305361665,0.03565143832020997
no_density,gradient_boosting,33,0.9603240403278891,0.9489651034525334,0.9784955167531855,0.9634383249625607,0.9912223270857188,0.991333497901544,0.9590204294909984,0.9207640168348752,0.02997320039300021,0.963254593175853,0.9610705596107056,0.9705159705159705,0.9657701711491442,0.9942762224452365,0.9947043534251963,0.9627227739903796,0.9261637580112786,0.027321073181796215
no_depth,random_forest,35,0.9688475696072247,0.9609969910839835,0.9815630014157621,0.9711405466213208,0.9916780574940999,0.9906766111970853,0.9679300057733616,0.9376277558907194,0.024835317321680525,0.9711286089238845,0.963855421686747,0.9828009828009828,0.9732360097323601,0.9948991244765892,0.9950748018007194,0.9702737308371111,0.942113682296307,0.023700283464566926
no_depth,gradient_boosting,35,0.9658929848521275,0.9585964171037643,0.9784898537045776,0.968389074817334,0.9919406330967433,0.991470923278029,0.9649849812135439,0.93172111995156,0.025546671728384984,0.9711286089238845,0.963855421686747,0.9828009828009828,0.9732360097323601,0.9953005502301278,0.9958795261897508,0.9702737308371111,0.942113682296307,0.025832337286605493
no_radius,random_forest,35,0.9685186240097657,0.9604551152930016,0.9815630014157621,0.9708591135060545,0.9919208175924392,0.9912999748378851,0.9675778930973055,0.9369821779561516,0.024169107718558416,0.9698162729658792,0.9637681159420289,0.9803439803439803,0.9719853836784409,0.9947883863376821,0.9949395072066549,0.9690452296086098,0.9394340724872252,0.023374162729658796
no_radius,gradient_boosting,35,0.9662203153320867,0.9608643948235391,0.976645587541293,0.9686273429832092,0.9924317183662984,0.9921372493289311,0.9654700633530531,0.9323384247783852,0.025009356299755224,0.963254593175853,0.9566265060240964,0.9754299754299754,0.9659367396593674,0.9948783610755442,0.9953947580055493,0.9623628750389314,0.9262656240327259,0.027092170976621782
no_duration,random_forest,34,0.9685197025170325,0.9598722903275393,0.9821821613968854,0.9708637269621464,0.9922589963516225,0.992015866386992,0.9675341249287367,0.9370159250457568,0.024618179371372124,0.9724409448818898,0.9639423076923077,0.9852579852579852,0.9744835965978129,0.9953316953316954,0.9956228871902687,0.9715022320656124,0.9448011540795508,0.023537196850393703
no_duration,gradient_boosting,34,0.9662203153320867,0.9613851330647067,0.9760302029259085,0.9686055633703592,0.9914424026186877,0.9904943723230296,0.9655144837214173,0.9322863814494621,0.026723859575864685,0.9698162729658792,0.9637681159420289,0.9803439803439803,0.9719853836784409,0.9952244177596291,0.9956915667854735,0.9690452296086098,0.9394340724872252,0.026095730568142156
no_constants,random_forest,35,0.9698311779268686,0.9610664986884103,0.9834072675790468,0.9720853861748342,0.9920842986018578,0.9914584942569469,0.968852138855004,0.9396239361411386,0.024199667558442384,0.968503937007874,0.9614457831325302,0.9803439803439803,0.9708029197080292,0.995293629096446,0.9955215042327358,0.9676367789043845,0.9368309962084467,0.02350638320209974
no_constants,gradient_boosting,35,0.9681875302091075,0.9615474606204785,0.9797187352524777,0.9704940987875379,0.9920922542849222,0.9917465799315701,0.9673587498847018,0.9363104652655153,0.025396300867309936,0.9671916010498688,0.961352657004831,0.9778869778869779,0.9695493300852619,0.9951967332249022,0.9957115373257166,0.9664082776758833,0.9341526148862567,0.026342880733627273
