experiment,model,features,cv_roc_auc,cv_pr_auc,cv_brier,cv_mcc,test_roc_auc,test_pr_auc,test_brier,test_mcc
full,random_forest,38,0.9921628029805053,0.9916674299277964,0.024111449630731537,0.93698988827369,0.9952174966259474,0.9954116113701945,0.023385700787401577,0.942113682296307
full,gradient_boosting,38,0.9921225265238217,0.9917753381051974,0.025495761505545427,0.9349961227517752,0.9952590234280375,0.9957728404879502,0.02633214973876535,0.9341526148862567
no_density,random_forest,33,0.9892304620916594,0.9895616915779527,0.03845891376138001,0.9101307802584625,0.9906460878291864,0.991180991369539,0.03565143832020997,0.9264715305361665
no_density,gradient_boosting,33,0.9912223270857188,0.991333497901544,0.02997320039300021,0.9207640168348752,0.9942762224452365,0.9947043534251963,0.027321073181796215,0.9261637580112786
no_abs_log_rho_ratio,random_forest,37,0.9922687191194826,0.9919079247511975,0.02454076290215203,0.9377979203037295,0.9950444682839049,0.9952421815060752,0.023787254593175853,0.9368309962084467
no_abs_log_rho_ratio,gradient_boosting,37,0.9923657315126778,0.9922434943641056,0.02501777793994963,0.9356158249601456,0.9950306260165416,0.9954752069214059,0.02505970873537722,0.9314819917473459
only_abs_log_rho_ratio,random_forest,34,0.992256984723972,0.991937152599705,0.026272649621557176,0.9416942564334503,0.9943454337820534,0.9946052009460826,0.025339800524934387,0.9368309962084467
only_abs_log_rho_ratio,gradient_boosting,34,0.991549634060292,0.9900545087459864,0.025588915940642103,0.9343464851064596,0.9946084368619579,0.995168384618951,0.02661652975514044,0.928819061147077
no_abs_but_keep_density,random_forest,37,0.9922687191194826,0.9919079247511975,0.02454076290215203,0.9377979203037295,0.9950444682839049,0.9952421815060752,0.023787254593175853,0.9368309962084467
no_abs_but_keep_density,gradient_boosting,37,0.9923657315126778,0.9922434943641056,0.02501777793994963,0.9356158249601456,0.9950306260165416,0.9954752069214059,0.02505970873537722,0.9314819917473459
