final_rank,kepoi_name,kepid,planet_probability,earthlike_score,radius_score,insolation_score,temperature_score,stellar_temperature_score,period_score,transit_consistency_score,koi_period,koi_prad,koi_insol,koi_teq,koi_steff,koi_srad,koi_smass,f_sma_au,f_luminosity_sun,f_duration_ratio,f_impact_discrepancy,f_depth_ratio,f_log_rho_ratio
1,K02717.01,10002717,1.0,0.9292057935551556,0.7857921949035959,0.9785117951112962,0.9930541079860582,0.9665445590000722,0.9784927799290586,0.7978771780711494,248.75291545134465,1.2083058396321822,0.865475962185622,245.55449177006267,5511.125018714733,0.7139910257915002,0.7384540519105681,0.6996698006917947,0.4236832244455943,0.763865673665224,0.0395793075266699,1.132709308414357,0.0616089169529922
2,K01378.01,10001378,0.996,0.9129518726964221,0.9212991506026039,0.7640815615864736,0.928544163826343,0.9790641528796235,0.9893943545870447,0.8579838850263882,477.98438346140455,1.121468873659598,0.6014034706950896,224.1948399921387,5566.290935492975,0.9966705168148636,0.997002965677692,1.1952198727061134,0.8591352552920858,0.6062528179592046,0.0160822047318945,1.0982158238861952,-0.0434008722710291
3,K02177.01,10002177,1.0,0.9016310715578939,0.8178272265944452,0.9992922301082049,0.9998776812062539,0.303549203740617,0.7743133591096675,0.8432628395422421,97.81475566261062,1.1902596968401171,1.026426497537523,256.2513098432598,4227.842261576633,0.7070655803828139,0.7320044594887265,0.3744386540709015,0.1439094144007665,0.851989463253094,0.0017217571325515,1.181921490923775,-0.001613325525823
4,K02379.01,10002379,1.0,0.8993211561739013,0.9715346602969875,0.8454338169757257,0.9466987791783169,0.5264124263687286,0.9403703565476723,0.6791844365570687,191.45275272036423,1.0720978506422971,1.4943228006953169,281.4785051911828,4639.153767781274,1.3444366842336837,,0.7104655648254701,0.7542763475960232,0.9346468310151244,0.1228344682255245,1.2364576796555398,-0.0517775089180174
5,K00872.02,10000872,0.996,0.8970495723880716,0.7104329543189434,0.9787096881154947,0.9931146273713592,0.9659042642382731,0.9894510037077181,0.6334181776674841,279.306360089932,1.248069599097755,0.8660595313161401,245.59587414472955,5508.597057631162,0.7987078659692299,0.816862887815167,0.7817060181447305,0.5292180602259493,1.0311029754134218,0.1788195035870515,1.2420058962842202,0.0610772122321814
6,K02224.02,10002224,0.996,0.8905056874190713,0.8610898691167092,0.9999225154884508,0.9999275767415475,0.4055478478087719,0.7915348997207362,0.5965631544740918,103.6482136867844,1.164073618938562,0.9914082046588838,254.03716497849595,4428.4848974980205,0.6384376880813143,0.6677388804227734,0.3774417637259843,0.1412382782079946,0.8325478725794936,0.1806704536981009,1.215165016010027,-0.1410198310725753
7,K01578.02,10001578,0.972,0.8328032446731126,0.723417465306776,0.9672963442285881,0.990212474011564,0.43253650986322867,0.5877783703155192,0.5302349135594607,54.682524933566256,1.2414091691530535,1.1957181690776202,266.2204035107043,4477.327423396722,0.3847203002725242,0.4232827720787585,0.2116975121564179,0.053587110148666,0.910745834113594,0.3003397628144995,1.246828757095827,-0.1134920413217917
8,K01084.03,10001084,0.978,0.8309587940813851,0.7472227156565766,0.7711755209202218,0.916247280373006,0.3527312253224398,0.5785875395314614,0.9568848048602971,53.17506998405094,1.2290208690671056,1.648195456170893,288.4604710547942,4328.359523001012,0.5189517912128316,0.5541333821717987,0.2273090193161098,0.0851612542536932,0.3039727819049187,0.0014453347591447,1.023787812063677,-0.0191176407482868
9,K01559.02,10001559,1.0,0.8221792841596568,0.9919808355578669,0.6078375848566852,0.8375063704639202,0.2824720073907298,0.5106440200605431,0.7880916165779069,43.160368004126326,0.9619307426125284,1.9970150999001832,302.6421875283172,4181.92086851777,0.5383671276894288,,0.1999801254877312,0.0798647289043792,0.967315643603767,0.0194500163611012,1.2362963349196958,-0.0065708313580217
10,K00166.01,10000166,1.0,0.8189964050727193,0.8383909029522026,0.710233437681913,0.8889010823167415,0.3678965626097307,0.56456334421034,0.7375843337321849,50.950581439937054,1.178125649115765,1.774285620104181,293.8258582937316,4357.819346626169,0.5151132631730018,,0.2204330786734639,0.0862138551085625,0.8185872661679409,0.0670884685443964,1.1856632728076748,-0.0669840360495815
