rank,feature,importance
1,f_abs_log_rho_ratio,0.6295188911153179
2,f_depth_expected_ppm,0.13844360455121027
3,f_ror_from_radii,0.12457174849707997
4,f_log_depth,0.024726823161196943
5,f_duration_ratio,0.024487257323274537
6,f_rho_ratio,0.016927156640520864
7,f_log_rho_ratio,0.01518414696300837
8,f_log_prad,0.005070035301029976
9,f_log_max_mult_ev,0.0024000149241509543
10,f_snr_per_transit,0.0022892837060476787
11,f_impact_discrepancy,0.002026791706918905
12,f_log_srho,0.0019284120470639994
13,f_steff_frac_err,0.0016249887017279862
14,f_log_model_snr,0.0014345586159169043
15,f_depth_ratio,0.0014108410218204685
16,f_srad_frac_err,0.001188529343756135
17,f_rho_star_catalogue,0.0010552675398335738
18,f_sma_au,0.0009573815580542629
19,f_prad_frac_err,0.000895970662235289
20,f_luminosity_sun,0.0007634846252338972
21,f_duty_cycle,0.0006634442088511872
22,f_teq_filled,0.0004298282314750314
23,f_log_insol,0.00042523945804820066
24,f_insol_filled,0.000281368574517489
25,f_impact_implied,0.00026974551860883236
26,f_insol_calc,0.000237543734160962
27,f_teq_calc,0.00019043452779332121
28,f_duration_max_hours,0.0001835879348634759
29,f_log_duration,0.00018190039190190224
30,f_log_period,0.00014857864145253157
31,f_duration_unphysical,6.67577868368559e-05
32,f_rho_cat_from_logg,1.6382986091536862e-05
33,f_insol_ratio,0.0
34,f_teq_ratio,0.0
35,f_period_frac_err,0.0
36,f_duration_frac_err,0.0
37,f_depth_frac_err,0.0
38,f_ror_discrepancy,0.0
