rank,feature,importance
1,f_abs_log_rho_ratio,0.18873611630309362
2,f_depth_expected_ppm,0.1140490280760051
3,f_ror_from_radii,0.11328682586660808
4,f_log_depth,0.09503199496777187
5,f_rho_ratio,0.0783650052249087
6,f_log_rho_ratio,0.07830898025516116
7,f_log_prad,0.0699876059287573
8,f_duration_ratio,0.044226553746207646
9,f_snr_per_transit,0.033620689418601656
10,f_log_model_snr,0.03246600588335487
11,f_log_max_mult_ev,0.031632091998003195
12,f_duration_unphysical,0.02424319138553419
13,f_impact_discrepancy,0.0205152931966485
14,f_impact_implied,0.013596048557742909
15,f_log_srho,0.009477679637277456
16,f_depth_ratio,0.008265168400174626
17,f_log_duration,0.004908889658923448
18,f_duty_cycle,0.0037779066673967474
19,f_luminosity_sun,0.0034595824227417723
20,f_rho_star_catalogue,0.0033924067308815395
21,f_duration_max_hours,0.0032011014478140086
22,f_prad_frac_err,0.0029546262486192672
23,f_srad_frac_err,0.0029451655087788515
24,f_sma_au,0.002709421788169703
25,f_log_period,0.0027043171059452074
26,f_steff_frac_err,0.0026714200616954516
27,f_log_insol,0.0023807158884574125
28,f_insol_calc,0.002291413554345551
29,f_teq_filled,0.0022112204954575928
30,f_insol_filled,0.00218658584915254
31,f_teq_calc,0.0019914160794788833
32,f_rho_cat_from_logg,0.00040553164629135446
33,f_insol_ratio,0.0
34,f_teq_ratio,0.0
35,f_period_frac_err,0.0
36,f_duration_frac_err,0.0
37,f_depth_frac_err,0.0
38,f_ror_discrepancy,0.0
