kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_prad,koi_prad_err1,koi_prad_err2,koi_impact,koi_dor,koi_sma,koi_srho,koi_teq,koi_insol,koi_model_snr,koi_num_transits,koi_max_mult_ev,koi_count,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_kepmag,koi_sparprov,koi_fittype,koi_dikco_msky
10000000,K00000.01,,CANDIDATE,CANDIDATE,0.824086142570247,0,0,0,0,1.7308523216625527,0.00017308523216625528,-0.00017308523216625528,1.780434220312831,0.08902171101564155,-0.08902171101564155,1982.6463837609751,158.611710700878,-158.611710700878,0.04111680553707703,4.3747672051158295,1.9278446820253405,-1.9278446820253405,0.5558671062250696,6.173595495366571,0.028003221634719622,1.493178882492919,1689.558684733842,1939.7984287995703,939.7839467766339,808,1096.1807981847294,2,6490.333612627501,80.0,-80.0,4.4500536389434435,0.9754497520144524,0.42985501372620105,-0.42985501372620105,,11.75783634106196,Solar,LS+MCMC,0.3767349161392433
10000000,K00000.02,,CANDIDATE,CANDIDATE,0.8991599393363572,0,0,0,0,84.92710446696759,0.00849271044669676,-0.00849271044669676,5.606273760450768,0.2803136880225384,-0.2803136880225384,794.9492389529754,63.595939116238036,-63.595939116238036,0.026549333790376245,2.824809789249702,0.9132556616057332,-0.9132556616057332,0.6991419433193389,82.74257620912772,0.37531754420108826,1.3052733096520774,461.50652632791406,10.798784305441766,53.793401492206904,16,53.07349357538537,2,6490.333612627501,200.0,-200.0,4.4500536389434435,0.9754497520144524,0.31536105971783746,-0.31536105971783746,,12.766717748287112,KIC,MCMC,0.7648015136094157
10000001,K00001.01,Kepler-2 b,CONFIRMED,CANDIDATE,0.9364925906845722,0,0,0,0,0.630308339178739,6.30308339178739e-05,-6.30308339178739e-05,0.7993291836004406,0.039966459180022035,-0.039966459180022035,789.240046228695,63.139203698295596,-63.139203698295596,0.026821420430484723,2.219176686279517,0.5939504400037892,-0.5939504400037892,0.7820527871913606,3.754263010971233,0.013242471513762509,2.717601072354819,2038.9909358091775,4114.571936333833,619.9338552604602,2221,689.4087569217464,1,6108.045969848031,200.0,-200.0,4.5702016608958775,0.7585416432511216,0.20301950068046704,-0.20301950068046704,0.7797968658364003,14.945336649305961,KIC,LS,0.027270307714691647
10000002,K00002.01,,FALSE POSITIVE,FALSE POSITIVE,0.009170927965342097,0,0,1,0,2.8962601828585295,0.00028962601828585294,-0.00028962601828585294,1.3168459427181862,0.06584229713590932,-0.06584229713590932,5123.966412316711,409.91731298533693,-409.91731298533693,0.07024755384454553,11.139598805220865,2.871930854518125,-2.871930854518125,0.9201081939606885,6.580788643454746,0.04448878366498295,1.1861619091306168,1513.9045245359318,1250.4243628870033,1877.5878007973752,483,1812.3544940929676,2,6004.296260409032,200.0,-200.0,4.259420600575878,1.4538100434848429,0.3748107982610308,-0.3748107982610308,1.4004154657311523,11.302343585804019,KIC,LS,0.7564322337240184
10000002,K00002.02,Kepler-4 b,CONFIRMED,CANDIDATE,0.9395858914289184,0,0,0,0,1.7864300537315094,0.00017864300537315096,-0.00017864300537315096,1.9611002367024288,0.09805501183512144,-0.09805501183512144,259.8918872850937,20.791350982807494,-20.791350982807494,0.015250907145577348,2.4184327812092072,0.7594236593606823,-0.7594236593606823,0.728337220699311,4.7684463912877915,0.03223661956246962,0.46866537251002116,1778.4800834400378,2381.5488995778123,121.25858112383233,783,127.5530431976444,2,6004.296260409032,200.0,-200.0,4.259420600575878,1.4538100434848429,0.45651785396596695,-0.45651785396596695,1.4004154657311523,14.585156706460634,KIC,none,0.3518442835388161
10000003,K00003.01,,FALSE POSITIVE,FALSE POSITIVE,0.06463556092944454,0,1,0,0,0.3,3e-05,-3e-05,0.4134421646093607,0.020672108230468035,-0.020672108230468035,183332.7536535638,14666.620292285104,-14666.620292285104,0.42472453242663727,69.78729167198246,3.2118514146706976,-3.2118514146706976,0.9668338944329884,1.4157903220408974,0.009917499385088048,0.19577440282339004,2863.7867729619174,16011.285238460498,8000.0,4666,8412.500456872385,1,5268.230920981187,80.0,-80.0,4.242446881782521,1.5063931017971715,0.06932939650099453,-0.06932939650099453,1.4459207374287222,12.631583949227144,Astero,LS+MCMC,0.024050092203640187
10000004,K00004.01,,FALSE POSITIVE,FALSE POSITIVE,0.07509043280692727,0,0,1,0,29.876800757194243,0.0029876800757194246,-0.0029876800757194246,5.922594209270534,0.2961297104635267,-0.2961297104635267,1018.9523054554035,81.51618443643228,-81.51618443643228,0.028559398584577084,3.3539147341105435,0.8828790652090323,-0.8828790652090323,0.05409767293730283,38.48106264416607,0.19265676416756955,4.52264288335247,627.2801401580549,36.85612146642289,116.25177114980771,46,138.96194705543155,1,6016.026223155651,200.0,-200.0,4.402899523275984,1.0766443868836049,0.2834141190850617,-0.2834141190850617,1.0687227453853543,14.793732303775677,KIC,MCMC,0.8814316705064719
10000005,K00005.01,,FALSE POSITIVE,FALSE POSITIVE,0.03312074042041093,1,0,0,0,3.028691074663073,0.00030286910746630733,-0.00030286910746630733,5.840698259088868,0.29203491295444345,-0.29203491295444345,49028.77310138391,3922.301848110713,-3922.301848110713,0.2042020387445332,27.163254021783597,5.163101163131579,-5.163101163131579,0.5448191590141014,7.667336338974373,0.04348109588170813,8.424104984658626,1149.4454349355494,415.54390646687443,11.052656335406581,462,10.829389363917853,3,4920.7949875444165,200.0,-200.0,4.343368885627474,1.2195259388696733,0.23180344256242746,-0.23180344256242746,1.1955615456418787,13.099460221339795,KIC,LS,0.16390765631178814
10000005,K00005.02,Kepler-8 b,CONFIRMED,CANDIDATE,0.7677800784152675,0,0,0,0,31.45597240271219,0.003145597240271219,-0.003145597240271219,5.273262925998037,0.2636631462999019,-0.2636631462999019,315.3245177216982,25.225961417735856,-25.225961417735856,0.016484683973222506,2.1928167857014382,0.36953983125997014,-0.36953983125997014,0.5987654267602055,36.498633614908066,0.2069819970847189,1.296501988411929,526.8322033996122,18.338032369210293,35.06056819667943,44,34.81504872144009,3,4920.7949875444165,200.0,-200.0,4.343368885627474,1.2195259388696733,0.20551804081657352,-0.20551804081657352,,14.689700521537679,KIC,LS,0.3416392279510731
10000005,K00005.03,,FALSE POSITIVE,FALSE POSITIVE,0.2569542530189452,1,0,0,0,13.770634443058546,0.0013770634443058547,-0.0013770634443058547,7.81033594355307,0.39051679717765353,-0.39051679717765353,46450.42670708696,3716.034136566957,-3716.034136566957,0.20286223687959037,26.985031617051238,11.825844063843316,-11.825844063843316,0.6964975966981825,21.04313764237249,0.1193346222245381,0.23080315060743442,693.8336667016026,55.16770985061266,6.248614802474559,101,6.741776504612405,3,4920.7949875444165,80.0,-80.0,4.343368885627474,1.2195259388696733,0.5344416041288602,-0.5344416041288602,1.1955615456418787,14.943214584538115,Solar,LS+MCMC,0.7872880703612705
